Page;Keyword;Impressions;Clicks;Position;Ctr
https://py4you.com/courses/python-for-seo/;py4seo;156.0;127.0;1.0897435897435896;0.8141025641025641
https://py4you.com/courses/python-for-seo/;python для seo;200.0;70.0;1.2650000000000001;0.35
https://py4you.com/;py4you;101.0;67.0;1.0;0.6633663366336634
https://py4you.com/courses/python-for-seo/;python для seo специалиста;171.0;59.0;1.631578947368421;0.34502923976608185
https://py4you.com/courses/python-for-seo/;python for seo;321.0;38.0;22.258566978193148;0.11838006230529595
https://py4you.com/courses/python-for-seo/;python seo;740.0;29.0;37.52972972972973;0.03918918918918919
https://py4you.com/courses/python-for-seo/;seo python;164.0;23.0;24.420731707317074;0.1402439024390244
https://py4you.com/;python for you;23.0;14.0;3.3043478260869565;0.6086956521739131
https://py4you.com/courses/;курсы python;1114.0;5.0;52.281867145421906;0.004488330341113106
https://py4you.com/courses/python-django/;django курсы;28.0;4.0;15.321428571428571;0.14285714285714285
https://py4you.com/certificates/;py4you;55.0;2.0;2.909090909090909;0.03636363636363636
https://py4you.com/courses/;py4you;63.0;2.0;1.0317460317460316;0.031746031746031744
https://py4you.com/courses/python-django/;django python;192.0;2.0;41.744791666666664;0.010416666666666666
https://py4you.com/courses/python-for-seo/;aiohttp уроки;13.0;2.0;18.846153846153847;0.15384615384615385
https://py4you.com/courses/python-for-seo/;дорвей;8.0;2.0;19.625;0.25
https://py4you.com/courses/python-for-seo/;сайт на python;74.0;2.0;31.56756756756757;0.02702702702702703
https://py4you.com/courses/;курсы программирование;8.0;1.0;78.25;0.125
https://py4you.com/courses/;обучение программированию;354.0;1.0;74.13559322033899;0.002824858757062147
https://py4you.com/courses/python-django/;py4you;67.0;1.0;1.0597014925373134;0.014925373134328358
https://py4you.com/courses/python-django/;python django;101.0;1.0;32.9009900990099;0.009900990099009901
https://py4you.com/courses/python-django/;python online;163.0;1.0;74.079754601227;0.006134969325153374
https://py4you.com/courses/python-django/;курсы django;451.0;1.0;41.492239467849224;0.0022172949002217295
https://py4you.com/courses/python-for-seo/;python online;71.0;1.0;73.49295774647888;0.014084507042253521
https://py4you.com/courses/python-for-seo/;python pycharm уроки;1.0;1.0;30.0;1.0
https://py4you.com/courses/python-for-seo/;python задачи онлайн;18.0;1.0;28.72222222222222;0.05555555555555555
https://py4you.com/courses/python-for-seo/;python курсы;56.0;1.0;58.607142857142854;0.017857142857142856
https://py4you.com/courses/python-for-seo/;python курсы онлайн;186.0;1.0;53.41935483870968;0.005376344086021506
https://py4you.com/courses/python-for-seo/;seo with python;215.0;1.0;55.479069767441864;0.004651162790697674
https://py4you.com/courses/python-for-seo/;wordpress python;4.0;1.0;41.25;0.25
